Symbol,Name,Type,Date,shares,Price,Cash Value,Commission,Currency,汇率,,
000651.SZ,格力电器,红利,2011-5-30,,, 904.50 ,,人民币,,,
000338.SZ,潍柴动力,买入,2011-6-2,400, 45.25 ," -18,128.94 ", 28.94 ,人民币,,,
200039.SZ,中集B,红利,2011-6-2,,," 2,811.83 ",,港币,83.411,,
601668.SS,中国建筑,红利,2011-6-9,,, 474.30 ,,人民币,,,
200039.SZ,中集B,买入,2011-6-10,3000, 11.86 ," -35,615.58 ", 35.58 ,港币,83.336,,
600016.SS,民生银行,红利,2011-6-13,,, 496.80 ,,人民币,,,
000568.SZ,泸州老窖,红利,2011-7-7,,, 450.00 ,,人民币,,,
000338.SZ,潍柴动力,红利,2011-7-7,,, 464.40 ,,人民币,,,
000157.SZ,中联重科,拆分,2011-7-8,1.3,,,,人民币,,,
000157.SZ,中联重科,红利,2011-7-14,,, 748.80 ,,人民币,,,
002111.SZ,威海广泰,拆分,2011-9-21,1.8,,,,人民币,,,
601166.SS,兴业银行,红利,2012-5-7,,, 106.56 ,,人民币,,,
600066.SS,宇通客车,红利,2012-5-11,,, 216.00 ,,人民币,,,
601668.SS,中国建筑,红利,2012-6-20,,, 612.00 ,,人民币,,,
200039.SZ,中集B,红利,2012-6-26,,," 5,535.70 ",,港币,81.462,,
600016.SS,民生银行,红利,2012-6-28,,," 1,490.40 ",,人民币,,,
000002.SZ,万科A,红利,2012-7-4,,, 182.28 ,,人民币,,,
600660.SS,福耀玻璃,红利,2012-7-5,,," 1,800.00 ",,人民币,,,
000651.SZ,格力电器,红利,2012-7-5,,," 1,777.50 ",,人民币,,,
002111.SZ,威海广泰,红利,2012-7-9,,, 19.44 ,,人民币,,,
000568.SZ,泸州老窖,红利,2012-7-12,,, 630.00 ,,人民币,,,
000550.SZ,江铃汽车,红利,2012-7-13,,, 137.60 ,,人民币,,,
002111.SZ,威海广泰,卖出,2012-7-25,360,8.7," 3,123.86 ",8.14,人民币,,,
000157.SZ,中联重科,买入,2012-7-25,1500,9.06," -13,611.75 ",21.73,人民币,,,
601668.SS,中国建筑,买入,2012-7-27,8000,3.14," -25,166.17 ",46.17,人民币,,,
000157.SZ,中联重科,红利,2012-8-2,,," 1,273.50 ",,人民币,,,
900905.SS,老凤祥B,买入,2012-8-6,1700,1.741," -2,962.66 ",1.48,美元,633.53,,
900905.SS,老凤祥B,拆分,2012-8-9,1.2,,,,美元,,,
000338.SZ,潍柴动力,红利,2012-8-16,,, 84.00 ,,人民币,,,
000338.SZ,潍柴动力,拆分,2012-8-16,1.2,,,,人民币,,,
900905.SS,老凤祥B,红利,2012-8-23,,, 24.20 ,,美元,633.16,,
000651.SZ,格力电器,买入,2012-8-28,500,20.49," -10,251.15 ",6.15,人民币,,,
600016.SS,民生银行,红利,2012-9-5,,, 745.20 ,,人民币,,,
900905.SS,老凤祥B,买入,2012-9-11,1900,1.59," -3,024.03 ",3.03,美元,633.91,,
600016.SS,民生银行,买入,2012-9-12,2000,5.7," -11,408.04 ",8.04,人民币,,,
900905.SS,老凤祥B,买入,2012-9-18,1800,1.66," -2,990.98 ",2.98,美元,633.91,,
601668.SS,中国建筑,买入,2012-10-23,6500,3.11," -20,231.03 ",16.03,人民币,,,
000651.SZ,格力电器,买入,2012-10-26,900,21.02," -18,929.35 ",11.35,人民币,,,
900905.SS,老凤祥B,买入,2012-11-8,400,1.69, -677.34 ,1.34,美元,633.91,,
600066.SS,宇通客车,买入,2012-11-8,400,21.62," -8,655.44 ",7.44,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-8,1500,7.16," -10,746.19 ",6.19,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-16,1500,6.97," -10,462.27 ",7.27,人民币,,,
600016.SS,民生银行,买入,2012-11-16,1800,6.1," -10,987.67 ",7.67,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-29,1400,7.01," -9,820.89 ",6.89,人民币,,,
000157.SZ,中联重科,买入,2012-11-30,1300,7.98," -10,380.22 ",6.22,人民币,,,
000651.SZ,格力电器,买入,2012-12-4,400,23.06," -9,229.53 ",5.53,人民币,,,
000651.SZ,格力电器,买入,2012-12-18,800,24.19," -19,363.61 ",11.61,人民币,,,
200039.SZ,中集B,卖出,2012-12-19,10500,9.7," 101,850.00 ",0,港币,81.462,,
2039.HK,中集集团,买入,2012-12-19,10500,9.7," -101,850.00 ",0,港币,81.462,,
200869.SZ,张裕B,买入,2013-2-18,200,41," -8,209.10 ",9.1,港币,80.17,,
200869.SZ,张裕B,买入,2013-2-26,800,39.5," -31,631.60 ",31.6,港币,80.17,,
200869.SZ,张裕B,买入,2013-3-5,600,38.3," -23,002.98 ",22.98,港币,80.17,,
000550.SZ,江铃汽车,卖出,2013-3-5,200,16.8," 3,351.64 ",8.36,人民币,,,
000568.SZ,泸州老窖,卖出,2013-3-5,500,30.98," 15,465.22 ",24.78,人民币,,,
000651.SZ,格力电器,买入,2013-4-10,1000,27.04," -27,056.22 ",16.22,人民币,,,
900905.SS,老凤祥B,买入,2013-4-15,500,2.07," -1,036.52 ",1.52,美元,616.49,,
900905.SS,老凤祥B,买入,2013-4-16,700,1.955," -1,370.18 ",1.68,美元,616.49,,
900905.SS,老凤祥B,买入,2013-4-16,600,1.88," -1,129.56 ",1.56,美元,616.49,,
601668.SS,中国建筑,买入,2013-5-7,5300,3.71," -19,677.98 ",14.98,人民币,,,
600066.SS,宇通客车,拆分,2013-5-15,1.8,,,,人民币,,,
000002.SZ,万科A,红利,2013-5-15,,, 266.41 ,,人民币,,,
600066.SS,宇通客车,卖出,2013-5-16,2160,18.15," 39,139.98 ",64.02,人民币,,,
601668.SS,中国建筑,买入,2013-5-16,8000,3.69," -29,542.51 ",22.51,人民币,,,
600066.SS,宇通客车,红利,2013-5-17,,, 784.00 ,,人民币,,,
600660.SS,福耀玻璃,红利,2013-6-6,,," 4,465.00 ",,人民币,,,
000157.SZ,中联重科,买入,2013-6-17,2200,6.74," -14,836.90 ",8.9,人民币,,,
600016.SS,民生银行,买入,2013-6-21,1100,9.06," -9,972.98 ",6.98,人民币,,,
600660.SS,福耀玻璃,买入,2013-6-21,1300,7.42," -9,652.79 ",6.79,人民币,,,
600016.SS,民生银行,买入,2013-6-24,600,8.74," -5,250.00 ",6,人民币,,,
601668.SS,中国建筑,买入,2013-6-24,3000,3.19," -9,577.54 ",7.54,人民币,,,
600660.SS,福耀玻璃,买入,2013-6-24,1400,7.17," -10,045.02 ",7.02,人民币,,,
601668.SS,中国建筑,买入,2013-6-25,3000,3.02," -9,067.24 ",7.24,人民币,,,
000651.SZ,格力电器,买入,2013-6-25,500,23.29," -11,651.99 ",6.99,人民币,,,
900905.SS,老凤祥B,买入,2013-6-25,600,1.977," -1,187.79 ",1.59,美元,614.89,,
600016.SS,民生银行,买入,2013-6-26,800,8.1," -6,486.00 ",6,人民币,,,
600660.SS,福耀玻璃,买入,2013-6-27,1400,7.14," -10,003.00 ",7,人民币,,,
600016.SS,民生银行,红利,2013-7-3,,," 1,684.35 ",,人民币,,,
601166.SS,兴业银行,拆分,2013-7-5,1.5,,,,人民币,,,
601166.SS,兴业银行,红利,2013-7-8,,, 185.94 ,,人民币,,,
000651.SZ,格力电器,红利,2013-7-10,,," 7,647.50 ",,人民币,,,
200869.SZ,张裕B,红利,2013-7-15,,," 2,090.00 ",,人民币,,,
600016.SS,民生银行,卖出,2013-7-16,3000,9.15," 27,404.28 ",45.72,人民币,,,
000157.SZ,中联重科,红利,2013-7-19,,," 1,740.40 ",,人民币,,,
1988.HK,民生银行,买入,2013-7-19,7000,8.04," -56,670.13 ",390.13,港币,79.12,,
601668.SS,中国建筑,红利,2013-7-29,,," 4,219.43 ",,人民币,,,
2039.HK,中集集团,红利,2013-8-16,,," 2,725.70 ",,港币,78.95,,
000338.SZ,潍柴动力,红利,2013-8-19,,, 314.64 ,,人民币,,,
900905.SS,老凤祥B,红利,2013-8-19,,, 788.09 ,,美元,612.24,,
600016.SS,民生银行,红利,2013-9-16,,," 1,323.88 ",,人民币,,,
1988.HK,民生银行,红利,2013-9-24,,," 1,194.01 ",,港币,78.95,,
000338.SZ,潍柴动力,红利,2013-10-17,,, 136.80 ,,人民币,,,
