買賣單位,symbol,name,currency,exchange,industry,買賣單位
"4,000",00106,朗詩綠色地產,HKD,HKEX, ,"4,000"
"2,000",00107,四川成渝高速公路,HKD,HKEX, ,"2,000"
"2,000",00108,國銳地產,HKD,HKEX, ,"2,000"
"10,000",00109,天成國際,HKD,HKEX, ,"10,000"
"2,000",00110,中國長遠,HKD,HKEX, ,"2,000"
"2,000",00111,信達國際控股,HKD,HKEX, ,"2,000"
"2,000",00112,勒泰商業地產,HKD,HKEX, ,"2,000"
500,00113,迪生創建,HKD,HKEX, ,500
"5,000",00114,HERALD HOLD,HKD,HKEX, ,"5,000"
"10,000",00115,鈞濠集團,HKD,HKEX, ,"10,000"
"1,000",00116,周生生,HKD,HKEX, ,"1,000"
"2,000",00117,天利控股集團,HKD,HKEX, ,"2,000"
"2,000",00118,大同機械,HKD,HKEX, ,"2,000"
"1,000",00119,保利置業集團,HKD,HKEX, ,"1,000"
"20,000",00120,COSMOPOL INT'L,HKD,HKEX, ,"20,000"
"10,000",00121,卜蜂蓮花,HKD,HKEX, ,"10,000"
"1,000",00122,鱷魚恤,HKD,HKEX, ,"1,000"
"2,000",00123,越秀地產,HKD,HKEX, ,"2,000"
"2,000",00124,粵海置地,HKD,HKEX, ,"2,000"
"2,000",00125,新興光學,HKD,HKEX, ,"2,000"
"2,000",00126,佳寧娜,HKD,HKEX, ,"2,000"
500,00127,華人置業,HKD,HKEX, ,500
"4,000",00128,安寧控股,HKD,HKEX, ,"4,000"
"2,000",00129,泛海集團,HKD,HKEX, ,"2,000"
"2,000",00130,慕詩國際,HKD,HKEX, ,"2,000"
"1,000",00131,卓能（集團）,HKD,HKEX, ,"1,000"
"1,000",00132,中國興業控股,HKD,HKEX, ,"1,000"
"2,000",00135,昆侖能源,HKD,HKEX, ,"2,000"
"4,000",00136,恒騰網絡,HKD,HKEX, ,"4,000"
"1,000",00137,金輝集團,HKD,HKEX, ,"1,000"
"2,000",00138,中建富通,HKD,HKEX, ,"2,000"
"14,000",00139,中國軟實力,HKD,HKEX, ,"14,000"
"2,000",00141,大中華集團,HKD,HKEX, ,"2,000"
"2,000",00142,第一太平,HKD,HKEX, ,"2,000"
"2,000",00143,GLOBAL TECH,HKD,HKEX, ,"2,000"
"2,000",00144,招商局港口,HKD,HKEX, ,"2,000"
"8,000",00145,香港建屋貸款,HKD,HKEX, ,"8,000"
"1,000",00146,TAI PING CARPET,HKD,HKEX, ,"1,000"
"5,000",00147,國際商業結算,HKD,HKEX, ,"5,000"
500,00148,建滔化工,HKD,HKEX, ,500
"5,000",00149,中國農產品交易,HKD,HKEX, ,"5,000"
"1,000",00151,中國旺旺,HKD,HKEX, ,"1,000"
500,00152,深圳國際,HKD,HKEX, ,500
"2,000",00153,中國賽特,HKD,HKEX, ,"2,000"
"1,000",00154,北京控股環境集團,HKD,HKEX, ,"1,000"
"10,000",00155,中國源暢,HKD,HKEX, ,"10,000"
"10,000",00156,力寶華潤,HKD,HKEX, ,"10,000"
"10,000",00157,自然美,HKD,HKEX, ,"10,000"
500,00158,萬邦投資,HKD,HKEX, ,500
